Date,Value
2015-07-21,23.183655712916
2015-07-20,20.226537956061
2015-07-19,24.228437904529
2015-07-18,16.759892354718
2015-07-17,16.82139210898
2015-07-16,11.633438690525
2015-07-15,30.082341423692
2015-07-14,20.051824172438
2015-07-13,7.7613588600649
2015-07-12,12.312115238374
2015-07-11,14.341771783236
2015-07-10,14.638968661337
2015-07-09,17.010842259023
2015-07-08,15.490854157403
2015-07-07,20.986432233995
2015-07-06,14.616336401673
2015-07-05,14.109161762508
2015-07-04,23.369660366894
2015-07-03,28.531354492033
2015-07-02,24.434489619435
2015-07-01,15.932925598188
2015-06-30,16.712953617437
2015-06-29,16.748895408786
2015-06-28,20.273340906838
2015-06-27,26.45600751355
2015-06-26,60.011830639117
2015-06-25,38.293719740085
2015-06-24,30.396688346453
2015-06-23,46.344623257876
2015-06-22,38.003766172187
2015-06-21,61.820106014419
2015-06-20,36.167978764053
2015-06-19,69.309217807761
2015-06-18,24.562336911504
2015-06-17,20.174988589024
2015-06-16,20.345020373478
2015-06-15,21.944501389309
2015-06-14,34.211015309385
2015-06-13,51.413866689481
2015-06-12,42.995621485255
2015-06-11,41.006403864201
2015-06-10,39.185809370647
2015-06-09,23.923897109322
2015-06-08,28.017073099818
2015-06-07,42.752586985258
2015-06-06,45.836554836134
2015-06-05,27.076965848585
2015-06-04,41.357939731896
2015-06-03,43.781597986751
2015-06-02,28.072639876281
2015-06-01,22.479954933652
2015-05-31,40.727826914418
2015-05-30,38.542266914023
2015-05-29,31.651507410381
2015-05-28,34.271515953532
2015-05-27,25.153089521338
2015-05-26,20.842663728368
2015-05-25,33.306224026984
2015-05-24,35.998373387128
2015-05-23,35.312983174006
2015-05-22,25.571261304569
2015-05-21,35.754771570727
2015-05-20,23.886084778136
2015-05-19,28.951372511598
2015-05-18,32.071329213227
2015-05-17,33.581537698314
2015-05-16,34.604305592181
2015-05-15,28.124844078356
2015-05-14,20.137371947959
2015-05-13,33.007211976193
2015-05-12,20.730805329561
2015-05-11,22.638691245929
2015-05-10,35.567238982641
2015-05-09,23.600331039834
2015-05-08,16.137586968289
2015-05-07,18.823495623242
2015-05-06,31.972161497517
2015-05-05,18.97216062596
2015-05-04,25.000779754423
2015-05-03,33.459515099131
2015-05-02,25.542653901404
2015-05-01,21.565722786879
2015-04-30,17.330900713612
2015-04-29,23.022225264738
2015-04-28,17.998727930717
2015-04-27,20.077566416556
2015-04-26,16.080967170026
2015-04-25,22.764227961703
2015-04-24,23.777239355766
2015-04-23,15.622022183344
2015-04-22,16.064453562603
2015-04-21,32.094428113818
2015-04-20,31.471213987146
2015-04-19,20.019024413062
2015-04-18,33.86254764488
2015-04-17,19.800478959424
2015-04-16,17.389773986406
2015-04-15,15.719588566153
2015-04-14,13.231410497112
2015-04-13,17.066548874348
2015-04-12,39.760937712226
2015-04-11,37.855947681949
2015-04-10,15.552006028332
2015-04-09,22.977012938849
2015-04-08,19.235403925848
2015-04-07,33.180082745698
2015-04-06,18.108454377162
2015-04-05,18.200718086571
2015-04-04,34.922503730868
2015-04-03,20.511418621682
2015-04-02,25.818336741245
2015-04-01,29.270339989794
2015-03-31,21.909032069484
2015-03-30,20.918066196459
2015-03-29,22.304313389013
2015-03-28,23.205373865718
2015-03-27,32.079656820393
2015-03-26,25.294517591207
2015-03-25,14.603622641355
2015-03-24,11.937652826034
2015-03-23,17.951374941425
2015-03-22,33.846549077949
2015-03-21,29.255304039063
2015-03-20,21.256091397795
2015-03-19,11.894990700815
2015-03-18,15.10911392965
2015-03-17,29.016211673603
2015-03-16,19.429514218428
2015-03-15,35.998289585134
2015-03-14,25.682869416694
2015-03-13,19.635739556424
2015-03-12,26.694657055767
2015-03-11,35.636981370538
2015-03-10,19.235806469206
2015-03-09,18.29638661372
2015-03-08,60.040324814603
2015-03-07,43.998209016777
2015-03-06,21.142143391125
2015-03-05,17.332244723969
2015-03-04,16.025044317911
2015-03-03,10.324592744888
2015-03-02,12.17080777737
2015-03-01,23.450083757159
2015-02-28,17.656753801679
2015-02-27,10.83851937952
2015-02-26,27.827406539905
2015-02-25,39.386628567131
2015-02-24,26.908232668266
2015-02-23,21.744786624951
2015-02-22,18.660353324294
2015-02-21,40.868337139073
2015-02-20,13.495725432588
2015-02-19,23.034988414906
2015-02-18,12.632316681421
2015-02-17,12.627907548391
2015-02-16,10.147740806906
2015-02-15,5.7113464624575
2015-02-14,11.560462764271
2015-02-13,11.885145683297
2015-02-12,20.112783504196
2015-02-11,18.884854780101
2015-02-10,21.334226054682
2015-02-09,11.163909828742
2015-02-08,8.8236930957439
2015-02-07,22.869744039702
2015-02-06,17.540638373241
2015-02-05,14.511022343303
2015-02-04,11.004812455144
2015-02-03,12.335497449707
2015-02-02,8.7548257552217
2015-02-01,8.43922503795
2015-01-31,11.310638195963
2015-01-30,8.1927911548358
2015-01-29,7.0340515728975
2015-01-28,10.592836833792
2015-01-27,9.5278436409271
2015-01-26,6.3052176379104
2015-01-25,5.2876926018096
2015-01-24,16.782206768106
2015-01-23,11.94668634709
2015-01-22,7.7079293859663
2015-01-21,29.827807606414
2015-01-20,12.129823192526
2015-01-19,12.143764511867
2015-01-18,8.6397327505529
2015-01-17,8.202442480245
2015-01-16,5.5685074337406
2015-01-15,4.0164747619051
2015-01-14,3.9657602418927
2015-01-13,7.3249562404952
2015-01-12,15.183653168374
2015-01-11,13.965268453405
2015-01-10,6.7692161712942
2015-01-09,7.2495626413487
2015-01-08,4.7836452609784
2015-01-07,6.5886946898972
2015-01-06,5.2438173921555
2015-01-05,5.8159392535203
2015-01-04,6.9289684555862
2015-01-03,15.038660429418
2015-01-02,27.850971888248
2015-01-01,16.179564369624
2014-12-31,22.676458611686
2014-12-30,20.466367544309
2014-12-29,25.743989091578
2014-12-28,16.920339407872
2014-12-27,14.603145596322
2014-12-26,22.980132341667
2014-12-25,24.810569937074
2014-12-24,34.055190862148
2014-12-23,24.314918233145
2014-12-22,15.618792783582
2014-12-21,17.459435276139
2014-12-20,11.605078477603
2014-12-19,11.324346479766
2014-12-18,12.085570707969
2014-12-17,10.048187417633
2014-12-16,10.837358120534
2014-12-15,17.838473139434
2014-12-14,19.829891748755
2014-12-13,23.033110551329
2014-12-12,17.854544837094
2014-12-11,11.037071860531
2014-12-10,30.070593008394
2014-12-09,14.557056437251
2014-12-08,22.121376170562
2014-12-07,46.295365904366
2014-12-06,42.566828979051
2014-12-05,34.383308966755
2014-12-04,15.861604546992
2014-12-03,25.089745577287
2014-12-02,53.410072656706
2014-12-01,28.313457616581
2014-11-30,28.412268083851
2014-11-29,20.269091924933
2014-11-28,36.911047830757
2014-11-27,14.075851979444
2014-11-26,14.676806993193
2014-11-25,9.9337357660639
2014-11-24,8.3255149123478
2014-11-23,15.991438185295
2014-11-22,16.735702394545
2014-11-21,10.301632469766
2014-11-20,10.739291059868
2014-11-19,12.978189550567
2014-11-18,14.237433370964
2014-11-17,8.0422334310942
2014-11-16,11.194835481162
2014-11-15,12.282207673922
2014-11-14,8.6990107036204
2014-11-13,6.1930759182322
2014-11-12,6.5988452578502
2014-11-11,15.134955799073
2014-11-10,8.855247912891
2014-11-09,11.89011550533
2014-11-08,32.283789514111
2014-11-07,16.829463095763
2014-11-06,11.382948811751
2014-11-05,15.859541564554
2014-11-04,10.549373246569
2014-11-03,11.833421960195
2014-11-02,8.406839073427
2014-11-01,9.2342268151152
2014-10-31,10.992098094332
2014-10-30,12.699524988081
